day,time,sender_account,receipient_account,amount
1,08:50,acc4,acc2,71
1,08:50,acc4,acc6,69
1,08:50,acc6,acc7,68
1,08:52,acc3,acc5,64
1,08:52,acc3,acc7,62
1,08:52,acc4,acc3,27
1,08:52,acc5,acc2,54
1,08:53,acc1,acc5,25
1,08:53,acc3,acc2,43
1,08:53,acc4,acc7,38
1,08:53,acc5,acc7,36
1,08:54,acc4,acc3,41
1,08:54,acc7,acc3,30
1,08:54,acc7,acc4,57
1,08:54,acc7,acc5,44
1,08:56,acc2,acc7,38
1,08:57,acc4,acc7,71
1,08:58,acc3,acc7,55
1,08:58,acc5,acc7,37
1,08:59,acc4,acc7,32
1,09:01,acc5,acc1,59
1,09:01,acc6,acc5,50
1,09:01,acc6,acc5,66
1,09:02,acc3,acc7,68
1,09:02,acc4,acc6,36
1,09:02,acc4,acc6,56
1,09:03,acc2,acc4,26
1,09:03,acc3,acc4,69
1,09:03,acc6,acc4,71
1,09:04,acc1,acc6,45
1,09:04,acc2,acc3,33
1,09:04,acc4,acc5,57
1,09:04,acc5,acc4,37
1,09:05,acc4,acc3,32
1,09:05,acc7,acc4,25
1,09:06,acc3,acc5,61
1,09:06,acc4,acc6,61
1,09:07,acc3,acc7,27
1,09:07,acc6,acc2,74
1,09:08,acc2,acc1,55
1,09:08,acc6,acc5,56
1,09:09,acc1,acc7,47
1,09:09,acc3,acc2,49
1,09:09,acc7,acc3,42
1,09:10,acc4,acc6,58
1,09:11,acc1,acc3,42
1,09:11,acc6,acc1,38
1,09:12,acc2,acc5,70
1,09:13,acc1,acc4,67
1,09:13,acc6,acc4,56
1,09:14,acc1,acc4,60
1,09:15,acc5,acc7,40
1,09:15,acc6,acc5,63
1,09:16,acc3,acc6,68
1,09:16,acc5,acc6,37
1,09:17,acc3,acc6,37
1,09:18,acc6,acc4,47
1,09:21,acc2,acc4,37
1,09:21,acc4,acc3,75
1,09:22,acc2,acc7,43
1,09:22,acc6,acc2,58
1,09:24,acc1,acc2,34
1,09:25,acc4,acc6,44
1,09:26,acc2,acc5,62
1,09:26,acc4,acc7,31
1,09:27,acc2,acc3,26
1,09:27,acc4,acc1,63
1,09:28,acc3,acc5,32
1,09:28,acc4,acc7,29
1,09:28,acc6,acc5,72
1,09:28,acc7,acc4,39
1,09:29,acc7,acc1,27
1,09:31,acc4,acc3,45
1,09:32,acc4,acc7,33
1,09:32,acc6,acc2,46
1,09:33,acc1,acc5,75
1,09:33,acc4,acc6,29
1,09:35,acc4,acc7,72
1,09:35,acc6,acc3,36
1,09:35,acc6,acc7,30
1,09:36,acc4,acc2,46
1,09:36,acc4,acc6,33
1,09:37,acc3,acc5,33
1,09:37,acc4,acc7,38
1,09:39,acc2,acc1,60
1,09:39,acc2,acc7,62
1,09:39,acc3,acc7,65
1,09:40,acc2,acc6,61
1,09:40,acc3,acc2,60
1,09:41,acc2,acc1,34
1,09:41,acc2,acc7,36
1,09:41,acc5,acc7,74
1,09:42,acc2,acc7,60
1,09:42,acc4,acc7,49
1,09:43,acc2,acc4,35
1,09:43,acc4,acc6,32
1,09:43,acc6,acc4,40
1,09:43,acc6,acc4,74
1,09:44,acc2,acc4,74
1,09:44,acc5,acc6,69
1,09:45,acc2,acc5,30
1,09:45,acc6,acc1,45
1,09:45,acc6,acc5,54
1,09:46,acc1,acc3,62
1,09:46,acc1,acc3,57
1,09:46,acc2,acc7,43
1,09:46,acc4,acc6,32
1,09:46,acc6,acc2,41
1,09:46,acc6,acc7,59
1,09:46,acc7,acc5,67
1,09:47,acc1,acc7,56
1,09:47,acc3,acc7,64
1,09:48,acc3,acc5,43
1,09:48,acc4,acc2,70
1,09:49,acc1,acc3,46
1,09:49,acc3,acc4,51
1,09:51,acc4,acc1,45
1,09:52,acc3,acc1,47
1,09:52,acc5,acc3,29
1,09:53,acc4,acc3,25
1,09:53,acc5,acc3,39
1,09:54,acc1,acc2,29
1,09:55,acc2,acc3,64
1,09:55,acc6,acc1,67
1,09:56,acc1,acc3,55
1,09:57,acc3,acc4,32
1,09:58,acc3,acc4,59
1,09:59,acc2,acc7,31
1,09:59,acc5,acc1,39
1,10:00,acc2,acc3,39
1,10:00,acc7,acc2,53
1,10:00,acc7,acc3,70
1,10:01,acc1,acc4,73
1,10:01,acc2,acc6,36
1,10:01,acc3,acc5,29
1,10:01,acc6,acc1,32
1,10:01,acc7,acc1,37
1,10:02,acc2,acc1,50
1,10:02,acc3,acc2,54
1,10:02,acc6,acc7,62
1,10:04,acc2,acc1,37
1,10:04,acc2,acc3,48
1,10:05,acc5,acc2,44
1,10:05,acc5,acc2,55
1,10:06,acc1,acc4,30
1,10:06,acc3,acc6,46
1,10:07,acc6,acc4,56
1,10:07,acc7,acc5,39
1,10:09,acc2,acc6,57
1,10:10,acc7,acc6,74
1,10:11,acc7,acc2,55
1,10:11,acc7,acc5,33
1,10:13,acc5,acc3,44
1,10:14,acc6,acc4,64
1,10:14,acc7,acc3,61
1,10:15,acc2,acc5,67
1,10:16,acc2,acc3,64
1,10:16,acc4,acc1,61
1,10:17,acc1,acc2,41
1,10:18,acc2,acc1,30
1,10:18,acc5,acc1,40
1,10:19,acc1,acc7,73
1,10:19,acc6,acc1,34
1,10:19,acc7,acc1,65
1,10:20,acc6,acc2,43
1,10:20,acc7,acc4,37
1,10:22,acc5,acc4,59
1,10:23,acc3,acc2,56
1,10:23,acc4,acc5,43
1,10:23,acc7,acc5,66
1,10:24,acc1,acc7,37
1,10:24,acc5,acc7,58
1,10:25,acc1,acc5,62
1,10:25,acc3,acc2,53
1,10:26,acc3,acc7,68
1,10:26,acc4,acc3,68
1,10:26,acc5,acc6,55
1,10:27,acc2,acc7,68
1,10:28,acc3,acc5,37
1,10:28,acc5,acc6,72
1,10:29,acc4,acc5,33
1,10:30,acc2,acc4,71
1,10:30,acc3,acc2,69
1,10:31,acc3,acc7,67
1,10:31,acc7,acc3,51
1,10:32,acc3,acc7,65
1,10:32,acc6,acc3,51
1,10:33,acc2,acc6,31
1,10:33,acc3,acc7,50
1,10:33,acc4,acc7,57
1,10:34,acc2,acc5,63
1,10:34,acc4,acc2,46
1,10:35,acc2,acc3,71
1,10:35,acc3,acc7,71
1,10:35,acc5,acc2,49
1,10:35,acc6,acc2,65
1,10:36,acc1,acc5,58
1,10:36,acc7,acc5,49
1,10:37,acc4,acc1,28
1,10:39,acc3,acc7,66
1,10:39,acc5,acc3,33
1,10:39,acc6,acc3,41
1,10:40,acc5,acc4,60
1,10:41,acc1,acc6,56
1,10:41,acc5,acc3,69
1,10:41,acc6,acc4,65
1,10:42,acc3,acc1,54
1,10:43,acc5,acc2,70
1,10:43,acc7,acc4,58
1,10:44,acc1,acc2,27
1,10:44,acc2,acc7,38
1,10:45,acc5,acc6,58
1,10:46,acc2,acc1,33
1,10:46,acc6,acc3,70
1,10:47,acc1,acc7,66
1,10:47,acc2,acc4,65
1,10:47,acc4,acc6,64
1,10:47,acc7,acc3,63
1,10:48,acc1,acc3,55
1,10:48,acc2,acc5,37
1,10:49,acc1,acc7,52
1,10:49,acc2,acc1,34
1,10:49,acc2,acc3,66
1,10:49,acc3,acc2,50
1,10:49,acc4,acc5,54
1,10:49,acc5,acc1,54
1,10:50,acc2,acc4,36
1,10:50,acc7,acc5,58
1,10:51,acc4,acc1,49
1,10:51,acc7,acc6,55
1,10:52,acc3,acc5,54
1,10:52,acc4,acc5,42
1,10:54,acc6,acc5,26
1,10:55,acc2,acc1,50
1,10:55,acc5,acc3,66
1,10:55,acc6,acc2,37
1,10:57,acc1,acc2,66
1,10:57,acc7,acc5,53
1,10:59,acc7,acc6,58
1,11:00,acc2,acc1,66
1,11:00,acc7,acc4,48
1,11:01,acc1,acc6,30
1,11:02,acc2,acc4,44
1,11:03,acc5,acc7,67
1,11:03,acc7,acc4,45
1,11:04,acc1,acc4,58
1,11:04,acc4,acc5,38
1,11:04,acc5,acc3,69
1,11:04,acc5,acc6,56
1,11:04,acc6,acc3,44
1,11:05,acc6,acc2,63
1,11:05,acc7,acc2,38
1,11:07,acc7,acc4,61
1,11:08,acc3,acc7,53
1,11:08,acc6,acc3,36
1,11:09,acc3,acc4,36
1,11:10,acc4,acc1,57
1,11:10,acc5,acc2,68
1,11:11,acc1,acc3,30
1,11:12,acc7,acc5,67
1,11:13,acc1,acc6,64
1,11:13,acc1,acc6,50
1,11:13,acc2,acc7,56
1,11:13,acc6,acc2,44
1,11:14,acc5,acc6,45
1,11:14,acc7,acc3,67
1,11:15,acc1,acc4,38
1,11:15,acc4,acc7,64
1,11:15,acc5,acc3,37
1,11:16,acc1,acc5,67
1,11:16,acc3,acc7,50
1,11:16,acc6,acc7,50
1,11:17,acc5,acc2,49
1,11:17,acc5,acc3,28
1,11:17,acc7,acc1,60
1,11:18,acc3,acc1,33
1,11:18,acc7,acc2,70
1,11:19,acc7,acc2,39
1,11:20,acc1,acc4,70
1,11:20,acc1,acc6,33
1,11:20,acc4,acc7,43
1,11:21,acc6,acc1,70
1,11:21,acc6,acc5,45
1,11:22,acc3,acc6,47
1,11:22,acc5,acc1,39
1,11:23,acc2,acc1,49
1,11:23,acc6,acc4,68
1,11:24,acc1,acc6,44
1,11:24,acc3,acc4,32
1,11:24,acc3,acc5,27
1,11:25,acc5,acc2,62
1,11:25,acc7,acc4,65
1,11:26,acc3,acc4,55
1,11:26,acc7,acc2,35
1,11:27,acc5,acc4,70
1,11:28,acc3,acc2,68
1,11:28,acc3,acc6,39
1,11:28,acc3,acc6,57
1,11:28,acc6,acc2,61
1,11:28,acc6,acc5,45
1,11:30,acc7,acc5,35
1,11:31,acc5,acc6,55
1,11:32,acc6,acc3,38
1,11:33,acc4,acc6,39
1,11:34,acc2,acc3,67
1,11:34,acc6,acc5,68
1,11:35,acc7,acc1,43
1,11:36,acc1,acc5,43
1,11:36,acc5,acc1,46
1,11:36,acc7,acc5,31
1,11:37,acc5,acc3,48
1,11:37,acc5,acc7,41
1,11:38,acc4,acc2,73
1,11:39,acc2,acc6,26
1,11:39,acc5,acc1,73
1,11:41,acc2,acc4,65
1,11:41,acc7,acc3,65
1,11:42,acc5,acc2,46
1,11:42,acc7,acc2,28
1,11:43,acc2,acc3,37
1,11:44,acc5,acc6,54
1,11:45,acc1,acc2,56
1,11:45,acc2,acc4,52
1,11:45,acc3,acc2,61
1,11:46,acc2,acc5,49
1,11:46,acc2,acc5,40
1,11:46,acc6,acc1,50
1,11:46,acc6,acc5,31
1,11:47,acc3,acc1,32
1,11:47,acc5,acc7,69
1,11:48,acc1,acc6,42
1,11:48,acc4,acc2,31
1,11:48,acc7,acc2,74
1,11:49,acc1,acc3,26
1,11:50,acc1,acc3,43
1,11:50,acc3,acc4,54
1,11:50,acc6,acc2,47
1,11:50,acc7,acc1,40
1,11:51,acc6,acc3,57
1,11:51,acc6,acc3,53
1,11:52,acc1,acc7,44
1,11:52,acc5,acc1,43
1,11:52,acc5,acc6,36
1,11:53,acc1,acc2,70
1,11:53,acc2,acc4,41
1,11:53,acc2,acc6,47
1,11:53,acc7,acc2,74
1,11:54,acc3,acc4,72
1,11:54,acc4,acc1,54
1,11:54,acc5,acc4,46
1,11:56,acc1,acc7,72
1,11:56,acc2,acc3,59
1,11:56,acc4,acc6,26
1,11:56,acc7,acc1,63
1,11:57,acc1,acc6,38
1,11:57,acc6,acc3,66
1,11:57,acc7,acc2,28
1,11:58,acc4,acc2,36
1,11:58,acc6,acc2,69
1,11:58,acc6,acc3,73
1,11:59,acc2,acc1,70
1,11:59,acc7,acc1,56
1,12:00,acc4,acc1,30
1,12:00,acc7,acc4,43
1,12:00,acc7,acc5,41
1,12:02,acc2,acc6,63
1,12:03,acc3,acc7,60
1,12:06,acc2,acc1,56
1,12:06,acc6,acc5,55
1,12:06,acc7,acc5,74
1,12:07,acc6,acc3,40
1,12:07,acc7,acc4,39
1,12:08,acc1,acc6,28
1,12:10,acc1,acc5,37
1,12:10,acc1,acc7,45
1,12:10,acc2,acc5,72
1,12:10,acc2,acc7,40
1,12:10,acc3,acc6,62
1,12:10,acc4,acc3,61
1,12:10,acc5,acc2,46
1,12:11,acc1,acc6,29
1,12:11,acc2,acc6,52
1,12:11,acc3,acc7,50
1,12:12,acc6,acc2,66
1,12:13,acc3,acc4,41
1,12:13,acc7,acc6,69
1,12:14,acc1,acc3,67
1,12:14,acc2,acc4,63
1,12:14,acc4,acc2,61
1,12:15,acc2,acc5,40
1,12:15,acc3,acc6,75
1,12:15,acc6,acc7,72
1,12:16,acc2,acc4,31
1,12:16,acc6,acc3,51
1,12:17,acc7,acc1,31
1,12:18,acc1,acc3,43
1,12:18,acc5,acc4,54
1,12:18,acc6,acc3,60
1,12:22,acc1,acc4,41
1,12:22,acc6,acc5,74
1,12:23,acc2,acc5,36
1,12:23,acc4,acc3,34
1,12:23,acc5,acc7,62
1,12:24,acc1,acc2,67
1,12:24,acc2,acc1,29
1,12:24,acc3,acc2,34
1,12:25,acc3,acc5,35
1,12:25,acc6,acc7,32
1,12:26,acc4,acc3,66
1,12:27,acc5,acc1,61
1,12:27,acc7,acc4,40
1,12:28,acc4,acc7,38
1,12:29,acc2,acc5,63
1,12:29,acc4,acc3,32
1,12:29,acc6,acc4,43
1,12:32,acc2,acc7,59
1,12:32,acc7,acc4,55
1,12:33,acc5,acc4,70
1,12:33,acc7,acc6,46
1,12:34,acc2,acc7,55
1,12:35,acc1,acc7,35
1,12:35,acc2,acc3,55
1,12:35,acc2,acc4,26
1,12:36,acc3,acc5,54
1,12:36,acc7,acc1,44
1,12:36,acc7,acc1,64
1,12:37,acc3,acc1,27
1,12:37,acc4,acc1,75
1,12:37,acc7,acc3,47
1,12:38,acc3,acc1,50
1,12:38,acc3,acc6,52
1,12:39,acc4,acc3,67
1,12:39,acc5,acc4,74
1,12:39,acc7,acc6,48
1,12:40,acc1,acc4,60
1,12:40,acc3,acc6,59
1,12:40,acc5,acc3,53
1,12:40,acc5,acc4,46
1,12:41,acc1,acc4,50
1,12:41,acc4,acc3,49
1,12:42,acc2,acc3,30
1,12:43,acc4,acc5,35
1,12:44,acc2,acc7,43
1,12:44,acc7,acc2,38
1,12:45,acc2,acc4,68
1,12:45,acc6,acc1,53
1,12:46,acc1,acc4,51
1,12:46,acc1,acc5,68
1,12:46,acc1,acc7,63
1,12:46,acc3,acc6,44
1,12:47,acc5,acc1,54
1,12:49,acc6,acc3,53
1,12:49,acc7,acc1,37
1,12:50,acc6,acc1,39
1,12:50,acc6,acc2,27
1,12:51,acc1,acc4,42
1,12:51,acc4,acc5,27
1,12:52,acc2,acc5,44
1,12:52,acc2,acc5,42
1,12:53,acc5,acc3,33
1,12:54,acc2,acc3,60
1,12:54,acc5,acc2,64
1,12:54,acc5,acc4,63
1,12:55,acc1,acc4,74
1,12:56,acc1,acc5,49
1,12:56,acc5,acc3,57
1,12:56,acc7,acc1,73
1,12:57,acc4,acc5,55
1,12:57,acc5,acc1,55
1,12:58,acc2,acc4,35
1,12:58,acc2,acc6,54
1,13:00,acc1,acc3,39
1,13:00,acc4,acc6,69
1,13:04,acc6,acc1,65
1,13:04,acc7,acc5,56
1,13:05,acc3,acc4,50
1,13:05,acc4,acc7,33
1,13:05,acc7,acc3,43
1,13:05,acc7,acc6,74
1,13:06,acc1,acc4,65
1,13:06,acc3,acc6,59
1,13:06,acc5,acc1,44
1,13:07,acc1,acc3,61
1,13:07,acc1,acc6,49
1,13:07,acc2,acc3,57
1,13:08,acc1,acc2,26
1,13:10,acc2,acc6,48
1,13:10,acc7,acc6,45
1,13:11,acc3,acc6,57
1,13:11,acc4,acc5,26
1,13:11,acc6,acc1,44
1,13:11,acc6,acc5,70
1,13:13,acc5,acc3,61
1,13:14,acc1,acc4,37
1,13:14,acc5,acc3,38
1,13:14,acc5,acc4,43
1,13:14,acc5,acc6,68
1,13:14,acc6,acc1,39
1,13:15,acc5,acc2,74
1,13:15,acc5,acc7,39
1,13:15,acc7,acc1,55
1,13:15,acc7,acc3,28
1,13:16,acc1,acc4,37
1,13:16,acc1,acc7,58
1,13:16,acc4,acc7,55
1,13:18,acc4,acc1,45
1,13:18,acc6,acc1,71
1,13:19,acc1,acc4,29
1,13:19,acc6,acc7,39
1,13:20,acc2,acc1,50
1,13:20,acc4,acc3,71
1,13:20,acc6,acc7,50
1,13:22,acc4,acc1,34
1,13:22,acc5,acc1,43
1,13:23,acc4,acc6,51
1,13:25,acc1,acc2,45
1,13:25,acc5,acc6,67
1,13:25,acc7,acc4,43
1,13:26,acc4,acc5,75
1,13:26,acc5,acc6,38
1,13:26,acc7,acc6,57
1,13:27,acc2,acc6,37
1,13:27,acc4,acc2,66
1,13:27,acc4,acc6,66
1,13:27,acc7,acc2,58
1,13:28,acc1,acc7,31
1,13:28,acc6,acc3,56
1,13:29,acc6,acc7,73
1,13:30,acc7,acc2,71
1,13:30,acc7,acc6,62
1,13:31,acc3,acc5,45
1,13:31,acc7,acc6,35
1,13:32,acc1,acc5,34
1,13:32,acc2,acc6,67
1,13:32,acc3,acc5,34
1,13:32,acc4,acc5,32
1,13:33,acc4,acc5,62
1,13:34,acc3,acc1,25
1,13:34,acc4,acc3,45
1,13:34,acc4,acc7,34
1,13:34,acc5,acc1,52
1,13:35,acc3,acc5,53
1,13:35,acc7,acc3,40
1,13:36,acc1,acc4,43
1,13:36,acc2,acc6,47
1,13:36,acc7,acc5,60
1,13:37,acc7,acc2,60
1,13:38,acc4,acc6,44
1,13:39,acc1,acc2,49
1,13:39,acc3,acc2,53
1,13:40,acc1,acc7,29
1,13:40,acc2,acc5,52
1,13:40,acc6,acc7,68
1,13:40,acc7,acc3,35
1,13:42,acc4,acc5,25
1,13:43,acc2,acc5,61
1,13:44,acc6,acc5,36
1,13:45,acc3,acc7,44
1,13:45,acc5,acc3,44
1,13:46,acc3,acc1,71
1,13:47,acc7,acc2,41
1,13:48,acc2,acc7,52
1,13:48,acc5,acc2,62
1,13:48,acc7,acc1,55
1,13:49,acc4,acc7,67
1,13:50,acc3,acc6,40
1,13:51,acc5,acc4,72
1,13:51,acc6,acc3,37
1,13:52,acc7,acc5,29
1,13:53,acc2,acc7,32
1,13:53,acc3,acc6,64
1,13:53,acc6,acc2,37
1,13:54,acc3,acc1,29
1,13:56,acc3,acc6,70
1,13:56,acc6,acc2,36
1,13:57,acc1,acc4,38
1,13:57,acc3,acc4,46
1,13:57,acc4,acc2,41
1,13:58,acc1,acc2,67
1,13:58,acc2,acc6,32
1,13:58,acc4,acc1,29
1,13:59,acc1,acc6,43
1,13:59,acc4,acc2,50
1,13:59,acc6,acc4,46
1,14:00,acc1,acc4,48
1,14:00,acc2,acc7,50
1,14:00,acc5,acc6,26
1,14:01,acc1,acc5,55
1,14:01,acc4,acc2,74
1,14:01,acc6,acc1,51
1,14:01,acc7,acc3,56
1,14:02,acc7,acc4,74
1,14:04,acc1,acc5,74
1,14:04,acc5,acc2,67
1,14:04,acc5,acc6,61
1,14:04,acc7,acc6,28
1,14:05,acc2,acc4,44
1,14:05,acc5,acc6,39
1,14:05,acc5,acc7,67
1,14:06,acc5,acc1,48
1,14:07,acc2,acc1,52
1,14:07,acc3,acc1,74
1,14:07,acc7,acc2,72
1,14:09,acc1,acc4,70
1,14:09,acc1,acc7,43
1,14:09,acc3,acc1,26
1,14:09,acc5,acc2,38
1,14:09,acc6,acc4,26
1,14:09,acc7,acc6,70
1,14:11,acc2,acc1,68
1,14:11,acc3,acc7,53
1,14:11,acc4,acc5,45
1,14:11,acc7,acc1,30
1,14:11,acc7,acc1,68
1,14:13,acc1,acc6,44
1,14:13,acc3,acc4,29
1,14:13,acc7,acc2,42
1,14:14,acc1,acc2,62
1,14:14,acc5,acc1,42
1,14:14,acc5,acc1,40
1,14:15,acc3,acc2,72
1,14:15,acc4,acc1,75
1,14:15,acc5,acc2,72
1,14:16,acc7,acc6,60
1,14:18,acc3,acc5,67
1,14:18,acc3,acc6,64
1,14:18,acc5,acc1,61
1,14:20,acc2,acc4,65
1,14:20,acc3,acc2,26
1,14:20,acc5,acc6,39
1,14:21,acc2,acc6,48
1,14:21,acc3,acc7,25
1,14:21,acc7,acc4,65
1,14:22,acc2,acc1,58
1,14:22,acc6,acc1,57
1,14:23,acc5,acc4,50
1,14:24,acc7,acc1,26
1,14:25,acc7,acc3,25
1,14:25,acc7,acc4,67
1,14:26,acc2,acc7,34
1,14:26,acc4,acc5,30
1,14:26,acc6,acc3,33
1,14:26,acc7,acc1,51
1,14:27,acc6,acc1,65
1,14:28,acc3,acc1,51
1,14:28,acc7,acc3,27
1,14:29,acc5,acc7,52
1,14:30,acc7,acc6,74
1,14:31,acc1,acc3,74
1,14:31,acc2,acc6,74
1,14:31,acc3,acc1,45
1,14:31,acc3,acc1,50
1,14:31,acc7,acc5,27
1,14:32,acc4,acc5,74
1,14:32,acc5,acc3,72
1,14:33,acc4,acc3,66
1,14:33,acc4,acc5,60
1,14:33,acc5,acc7,58
1,14:34,acc5,acc3,47
1,14:34,acc6,acc4,64
1,14:34,acc7,acc3,44
1,14:36,acc3,acc2,35
1,14:36,acc7,acc3,33
1,14:37,acc2,acc3,36
1,14:38,acc4,acc3,29
1,14:40,acc1,acc7,68
1,14:40,acc3,acc6,30
1,14:40,acc6,acc7,71
1,14:41,acc1,acc2,50
1,14:41,acc3,acc1,35
1,14:41,acc6,acc3,28
1,14:42,acc1,acc3,72
1,14:42,acc2,acc5,49
1,14:42,acc4,acc1,33
1,14:42,acc4,acc6,68
1,14:43,acc2,acc4,25
1,14:43,acc5,acc4,44
1,14:43,acc5,acc7,50
1,14:43,acc7,acc1,70
1,14:45,acc4,acc3,51
1,14:45,acc5,acc4,40
1,14:47,acc1,acc4,32
1,14:47,acc4,acc6,29
1,14:48,acc1,acc7,50
1,14:48,acc6,acc5,29
1,14:48,acc7,acc4,30
1,14:49,acc2,acc1,42
1,14:49,acc5,acc6,72
1,14:50,acc3,acc2,53
1,14:50,acc5,acc1,53
1,14:52,acc3,acc6,62
1,14:52,acc4,acc2,44
1,14:52,acc5,acc7,55
1,14:52,acc6,acc2,38
1,14:54,acc3,acc1,55
1,14:55,acc7,acc4,65
1,14:55,acc7,acc5,47
1,14:56,acc2,acc4,67
1,14:57,acc2,acc7,75
1,14:58,acc3,acc2,63
1,14:58,acc4,acc3,30
1,14:58,acc5,acc2,41
1,14:59,acc1,acc5,48
1,14:59,acc5,acc4,54
1,15:00,acc2,acc6,52
1,15:00,acc2,acc7,43
1,15:00,acc4,acc5,31
1,15:01,acc1,acc4,36
1,15:01,acc3,acc4,43
1,15:01,acc6,acc2,66
1,15:01,acc6,acc7,40
1,15:02,acc2,acc6,66
1,15:02,acc7,acc6,49
1,15:03,acc3,acc1,75
1,15:03,acc6,acc4,28
1,15:03,acc7,acc3,56
1,15:04,acc1,acc5,62
1,15:04,acc3,acc5,51
1,15:04,acc4,acc5,51
1,15:04,acc5,acc6,63
1,15:05,acc5,acc1,59
1,15:09,acc2,acc6,62
1,15:09,acc7,acc5,69
1,15:10,acc4,acc7,62
1,15:11,acc4,acc5,73
1,15:11,acc6,acc3,42
1,15:11,acc7,acc4,47
1,15:12,acc6,acc5,30
1,15:13,acc6,acc1,62
1,15:14,acc2,acc3,69
1,15:14,acc3,acc5,49
1,15:15,acc1,acc2,61
1,15:15,acc6,acc3,31
1,15:16,acc6,acc3,29
1,15:17,acc1,acc2,63
1,15:17,acc1,acc5,63
1,15:17,acc4,acc2,30
1,15:17,acc5,acc4,39
1,15:17,acc6,acc7,68
1,15:19,acc2,acc3,54
1,15:19,acc3,acc6,49
1,15:19,acc5,acc3,57
1,15:19,acc6,acc2,46
1,15:20,acc4,acc6,41
1,15:20,acc6,acc3,38
1,15:20,acc7,acc1,49
1,15:21,acc2,acc6,54
1,15:21,acc3,acc2,46
1,15:21,acc3,acc6,44
1,15:21,acc3,acc6,67
1,15:21,acc6,acc2,36
1,15:21,acc6,acc5,75
1,15:21,acc7,acc1,47
1,15:21,acc7,acc5,56
1,15:23,acc1,acc7,60
1,15:23,acc2,acc3,51
1,15:23,acc4,acc2,37
1,15:23,acc5,acc7,69
1,15:24,acc1,acc4,36
1,15:24,acc4,acc7,31
1,15:25,acc1,acc2,54
1,15:25,acc6,acc2,41
1,15:26,acc1,acc3,37
1,15:26,acc2,acc3,39
1,15:27,acc1,acc2,34
1,15:27,acc4,acc3,38
1,15:28,acc2,acc5,68
1,15:28,acc4,acc2,62
1,15:30,acc2,acc4,66
1,15:30,acc2,acc4,26
1,15:31,acc1,acc6,45
1,15:31,acc6,acc5,45
1,15:31,acc7,acc4,52
1,15:32,acc7,acc3,66
1,15:33,acc2,acc6,62
1,15:33,acc2,acc6,28
1,15:33,acc6,acc5,38
